wavelength,ion,,,,,
7319.99,[O II],,,,,
7330.73,[O II],,,,,
7377.83,[Ni II],,,,,
7411.16,[Ni II],,,,,
7452.538,[Fe II],,,,,
7468.31,N I,,,,,
7611,[S XII],,,,,
7751.06,[Ar III],,,,,
7816.136,He I,,,,,
7868.194,Ar I,,,,,
7889.9,[Ni III],,,,,
7891.8,[Fe XI],,,,,
8236.79,He II,,,,,
8392.397,Pa20,,,,,
8413.318,Pa19,,,,,
8437.956,Pa18,,,,,
8446.359,O I,,,,,
8467.254,Pa17,,,,,
8498.02,Ca II,,,,,
8502.483,Pa16,,,,,
8542.09,Ca II,,,,,
8545.383,Pa15,,,,,
8578.7,[Cl II],,,,,
8598.392,Pa14,,,,,
8616.95,[Fe II],,,,,
8662.14,Ca II,,,,,
8665.019,Pa13,,,,,
8680.282,N I,,,,,
8703.247,N I,,,,,
8711.703,N I,,,,,
8750.472,Pa12,,,,,
8862.782,Pa11,,,,,
8891.91,[Fe II],,,,,
9014.909,Pa10,,,,,
9068.6,[S III],,,,,
9229.014,Pa9,,,,,
9531.1,[S III],,,,,
9545.969,Pa_,,,,,
9824.13,[C I],,,,,
9850.26,[C I],,,,,
9913,[S VIII],,,,,
10027.73,He I,,,,,
10031.16,He I,,,,,
10049.368,Pa_,,,,,
10286.73,[S II],,,,,
10320.49,[S II],,,,,
10336.41,[S II],,,,,
10746.8,[Fe XIII],,,,,
10830.34,He I,,,,,
10938.086,Pa_,,,,,
